k	AGC
5	284.8907353866536
10	242.24522834679607
15	236.09734527833382
20	233.2736176115746
25	232.63123708221892
30	232.4112307836095
35	231.96464197342712
40	231.90979325679663
45	209.24928558146613
50	172.3072795020903
