k	MANC
5	244.60215909314635
10	150.51795983462887
15	125.88738476831475
20	110.062219153714
25	96.95070615477016
30	91.72546601879318
35	86.0868606638385
40	81.58693874870517
45	78.77546369442997
50	75.76828225694538
