k	MANC
5	176.44563254228194
10	96.29699956452185
15	64.70711327936854
20	50.23596149644801
25	40.92048729755814
30	34.711116374889805
35	30.504768274659483
40	26.971494977697798
45	24.274556994860788
50	21.987154463616243
