k	MANC
5	270.3260726297308
10	241.31273528280053
15	180.329439348919
20	178.46609467597418
25	177.6734384140081
30	170.76630653265534
35	170.66135479838002
40	170.64743440957167
45	170.63683606273497
50	137.17558526470853
