k	AGC
5	129.66245194613975
10	75.0175271138039
15	53.08183098172502
20	42.078061801808374
25	34.742990013528186
30	29.519724578488006
35	25.786357558840265
40	23.050106159962787
45	20.783867612347635
50	19.02699890330955
