k	AGC
5	125.53741926646707
10	72.742935624717
15	51.8547349913026
20	41.081596829596805
25	34.27425584027225
30	29.24242930870355
35	25.577183207318157
40	22.830758346260897
45	20.607547098904366
50	18.873199658208474
