k	MANC
5	78.9878651969004
10	42.87276276021432
15	32.17464789592251
20	26.778106772727465
25	23.212137156317368
30	20.55207888025913
35	18.42511934653385
40	16.805342840991855
45	15.517991329904815
50	14.405976245068782
