k	MANC
5	78.9878651969004
10	42.60079459098905
15	32.13954456198776
20	26.646086922069806
25	23.071433192882242
30	20.342871434046994
35	18.31357136965188
40	16.740473020955214
45	15.45909750835745
50	14.354537377951683
