k	MANC
5	708.9911748160094
10	684.8913887259828
15	676.4975263064183
20	666.1915728970597
25	663.5145777289375
30	661.3439698596753
35	222.26259041389102
40	221.8655574880819
45	221.60161380175947
50	217.68628371020878
