k	AGC
5	88.99167853721616
10	58.87432779827029
15	52.384212430750864
20	51.63389936449406
25	51.012596819491336
30	46.19022840082793
35	43.34987257777127
40	33.91219198290423
45	31.509827579094395
50	30.427087970241317
