k	AGC
5	5523.76826596507
10	2562.9772275918845
15	2531.414119973824
20	1165.6099910846472
25	824.9976702266201
30	769.016905597445
35	730.1576254622685
40	724.8580849073671
45	720.7570449446348
50	511.38171812889607
