k	MANC
5	2029.9472428123897
10	1379.7642008527969
15	1045.3555623883237
20	647.2377661909321
25	541.9565324061182
30	405.21027340363054
35	348.47894942887734
40	269.83372456682565
45	230.59937535235136
50	192.73883437748677
