k	MANC
5	1070.0343641006593
10	450.6277273037392
15	281.0565751263608
20	202.06572206767396
25	155.84287384499407
30	130.43166899578446
35	112.2806913035695
40	98.08489790761199
45	86.70207659366316
50	77.05237694998387
