k	MANC
5	2603.518308095853
10	1527.2665275225095
15	925.006462417142
20	478.95107272730706
25	474.66921321782655
30	396.94521177678246
35	325.62547229381926
40	302.8143388549717
45	229.80535570440432
50	216.9862183874901
