k	AGC
5	663.0217348429858
10	465.6053741036394
15	379.33047058823377
20	374.3061762563188
25	372.6275166317854
30	355.74247664114216
35	353.1362832657901
40	350.70159157632577
45	347.37871917127006
50	323.43243409938634
