k	MANC
5	258.928003544485
10	125.36096531682524
15	76.51858845704932
20	54.31652564675668
25	41.91609131620053
30	33.319361323455816
35	27.785833812305945
40	23.406136305364114
45	20.09275608672589
50	17.3223193503024
