k	AGC
5	15.453048972141293
10	10.233306027093398
15	7.966785912258461
20	6.826151171791698
25	5.903925985576379
30	5.232965479447015
35	4.644259182914544
40	4.231339214177489
45	3.8903697058022555
50	3.596836534258708
