k	AGC
5	28.198095185823362
10	16.29490053175691
15	11.874612557316716
20	9.42343289871545
25	7.835661622898693
30	6.703688486224586
35	5.875103173929879
40	5.212398055208846
45	4.689738165132658
50	4.28385205082535
