k	AGC
5	28.69041010780027
10	16.29490053175691
15	12.047399843137745
20	9.448036623337472
25	7.852028879236606
30	6.714138045227429
35	5.908167089115067
40	5.241787676201551
45	4.705526435146961
50	4.292412583847844
