k	AGC
5	30.962795232932834
10	16.780775848366645
15	12.955301876829775
20	10.067614453722756
25	8.563915608575382
30	7.584844576153819
35	6.5240417041611
40	5.8463197272079475
45	5.373309063930505
50	4.979238987979482
